selector,file,action,reason,original_declarations,new_declarations
"}

@media (max-width: 480px)",pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['.ai-analysis__upload-label {\n    min-height', 'padding'] from lower-priority definition",".ai-analysis__upload-label {
    min-height: 160px; padding: var(--spacing-4)",
"}

@media (max-width: 480px)",pages/integration/filters.css,trimmed (overlap removed),Removed overlapping properties ['.report-filters {\n    padding'] from lower-priority definition,".report-filters {
    padding: var(--spacing-3)",
"/* ========================================
   TABS HEADER
======================================== */

.tabs-header",pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'background-color', 'border-bottom', 'display', 'gap', 'justify-content', 'padding'] from lower-priority definition",align-items: center; background-color: var(--color-background-light); border-bottom: 1px solid var(--color-border-light); display: flex; gap: var(--spacing-6); justify-content: space-between; padding: var(--spacing-6),
.tabs-nav,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tabs-nav in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,-ms-overflow-style: none; background-color: var(--color-white); border: 1px solid var(--color-border); border-radius: var(--border-radius-lg); display: flex; gap: var(--spacing-2); overflow-x: auto; padding: var(--spacing-1); scrollbar-width: none,
.tab-button,features/student-tabs.css,trimmed (overlap removed),"Removed overlapping properties ['font-size', 'padding'] from lower-priority definition",font-size: var(--font-size-xs); padding: var(--spacing-2) var(--spacing-3),
.tab-button,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tab-button in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,align-items: center; background: none; border: none; border-radius: var(--border-radius-md); color: var(--color-text-secondary); cursor: pointer; display: flex; flex-shrink: 0; font-size: var(--font-size-sm); font-weight: var(--font-weight-medium); gap: var(--spacing-2); padding: var(--spacing-3) var(--spacing-4); transition: all var(--transition-fast); white-space: nowrap,
.tab-button:hover,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tab-button:hover in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,background-color: var(--color-background-light); color: var(--color-text-primary),
.tab-button--active,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tab-button--active in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,background-color: var(--color-primary); box-shadow: var(--shadow-sm); color: var(--color-white),
.tab-icon,pages/schools_students/students/student-details.css,trimmed (overlap removed),"Removed overlapping properties ['align-items', 'display'] from lower-priority definition",align-items: center; display: flex; flex-shrink: 0,flex-shrink: 0
.tab-label,pages/schools_students/students/student-details.css,dropped (covered by higher priority),.tab-label in pages/schools_students/students/student-details.css fully subset of accumulated higher-priority declarations,font-weight: var(--font-weight-semibold),
.tab-count,features/student-tabs.css,trimmed (overlap removed),"Removed overlapping properties ['min-width', 'padding'] from lower-priority definition",min-width: 20px; padding: var(--spacing-0-5) var(--spacing-1),
